Sample	Shannon	pH	SOC	TN	Moisture	Temp
S1	5.20	6.5	15.2	1.5	25.1	18.5
S2	5.10	6.8	14.8	1.3	24.5	18.6
S3	5.80	6.2	18.5	1.8	28.0	17.2
S4	5.90	6.1	19.0	1.9	28.5	17.0
S5	4.50	7.2	12.1	1.1	20.2	19.5
S6	4.60	7.1	12.5	1.2	21.0	19.2
S7	6.10	5.8	22.0	2.1	30.5	16.5
S8	6.05	5.9	21.5	2.0	30.0	16.8
S9	5.50	6.4	16.5	1.6	26.5	17.8
S10	5.45	6.5	16.0	1.5	26.0	18.0
S11	4.80	7.0	13.5	1.2	22.5	19.0
S12	4.90	6.9	14.0	1.3	23.0	18.8
S13	6.20	5.7	23.1	2.2	31.2	16.2
S14	6.15	5.8	22.8	2.1	31.0	16.4
S15	5.30	6.6	15.8	1.4	25.5	18.2
S16	5.35	6.5	15.5	1.5	25.2	18.3
S17	4.70	7.1	12.8	1.1	21.5	19.4
S18	4.65	7.2	12.4	1.0	20.8	19.6
S19	5.95	6.0	20.5	1.9	29.5	16.9
S20	5.85	6.1	19.8	1.8	28.8	17.1
